resposta_id,tweet_pai,candidato,texto,data,p_pos,p_neg,p_neu,intensidade,assimetria,n_tokens,n_moral,n_ind,n_vin,n_ger,b_ind,b_vin,b_ger,mfd_cuidado_virtude,mfd_cuidado_vicio,mfd_justica_virtude,mfd_justica_vicio,mfd_lealdade_virtude,mfd_lealdade_vicio,mfd_autoridade_virtude,mfd_autoridade_vicio,mfd_santidade_virtude,mfd_santidade_vicio,mfd_moralidade_geral,tem_moral
1582400109115232261,1582311743723753472,Bolsonaro,@usuario Vc conseguiu desviar qtos kg pro avião da FAB?,,0.016551,0.062247,0.921202,0.078798,0.045696,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582360250585600001,1582311743723753472,Bolsonaro,@usuario Se fosse o nine mandaria liberar a carga.,,0.024483,0.358601,0.616917,0.3830829999999999,0.334118,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582340750611607557,1582311743723753472,Bolsonaro,"@usuario @usuario Bom dia Presidente🇧🇷
Deus abençoe e guarde! 🙏",,0.903287,0.007649,0.089065,0.910935,-0.8956379999999999,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1582351414168547329,1582311743723753472,Bolsonaro,"@usuario 02-07-2019: A cocaína que viajava no avião da comitiva de Bolsonaro

EL PAÍS obtém imagem exclusiva da bagagem que continha 39 quilos de droga que foi levada a Sevilha por um sargento. Presidente anuncia envio de equipe à Espanha

https://t.co/8YFch6RdXH",,0.024361,0.064469,0.91117,0.0888299999999999,0.040108,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582460844973387776,1582311743723753472,Bolsonaro,"@usuario Prejuízo pro atravessador. Já o produtor tá com o lucro garantido e torcendo pra outra apreensão. Afinal, o que dá mais lucro ao produtor, o consumo no varejo ou a incineração por atacado?!?",,0.027682,0.312411,0.659906,0.340094,0.284729,19,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1582384546250559491,1582311743723753472,Bolsonaro,"@usuario @usuario Notícias dia 9  isso eu já vi tem uma mesma ação contra o @usuario  e aliados,entre eles é olho por olho e dente por dente. Agora judas tá do lado da verdade kkkk",,0.041057,0.312714,0.64623,0.35377,0.271657,17,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1582332630628204555,1582311743723753472,Bolsonaro,@usuario Vamos pra cima meu presidente 🙏🏻🙏🏻🙏🏻🙏🏻,,0.898585,0.008296,0.093119,0.906881,-0.890289,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582371545145823233,1582311743723753472,Bolsonaro,@usuario @usuario E deve ser vc que está com venda nos olhos! O seu candidato disse que está trabalhando para que o Brasil seja uma Venezuela.. vc quer isso pra vc e para os seus? Pq eu não quero!,,0.020229,0.863786,0.115986,0.884014,0.843557,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582367721001738243,1582311743723753472,Bolsonaro,"@usuario Bom dia Presidente 👉☕️👉🙏Jesus Cristo lhe cubra de bençãos. 
🇧🇷👉👉2⃣2⃣🙌",,0.57939,0.035985,0.384626,0.615374,-0.5434049999999999,7,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1582348194683400194,1582311743723753472,Bolsonaro,"@usuario o jair, vá pa casa do chapéu malandro",,0.006314,0.972554,0.021132,0.978868,0.96624,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582536919472570368,1582311743723753472,Bolsonaro,@usuario Teu filho não cheirou toda essa coca?,,0.011266,0.11434,0.874393,0.125607,0.103074,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582360704970985473,1582311743723753472,Bolsonaro,@usuario Desgoverno pautado em MENTIRAS,,0.003443,0.982897,0.01366,0.98634,0.979454,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582348125196365826,1582311743723753472,Bolsonaro,@usuario Pode mandar pra mim que eu incinero tudo,,0.561362,0.057253,0.381386,0.618614,-0.504109,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582381720191455232,1582311743723753472,Bolsonaro,"@usuario Caramba que legal.
Mas será mesmo que foi apreendido apenas 341kg enquanto as outras 2 toneladas que passaram com uma molhadinha de mão?
Vc acha mesmo que o tráfico esta só no morro?
Por onde a droga chega no Brasil?
Em quais fazendas posam os aviões clandestinos?
Pensa bem.",,0.043104,0.713066,0.24383,0.75617,0.669962,27,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1582315100081623040,1582311743723753472,Bolsonaro,"@usuario O bom é que é mais um carregamento pro teu filho, ele usou MUITO aqui! https://t.co/ZcDMmnRqrF",,0.648015,0.040924,0.311062,0.688938,-0.607091,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1582373353666379779,1582311743723753472,Bolsonaro,"@usuario Por que não salvou as 600 mil pessoas acometidas de COVID? Descaso com a saúde pública provocado por você, gerou um genocídio no Brasil.",,0.004627,0.943237,0.052136,0.947864,0.93861,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582336336157343744,1582311743723753472,Bolsonaro,@usuario A droga já deve ter destino para o Carluxo.,,0.021949,0.120813,0.857238,0.1427619999999999,0.098864,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582313805367095296,1582311743723753472,Bolsonaro,"@usuario @usuario Nunca imaginei que fosse dizer isso um dia MAS SOU IGUAL AMOEDO: Voto em Lula pea Bolsonaro perder 👊🏼

#ForaBolsonaro 🤡",,0.362146,0.255152,0.382703,0.617297,-0.106994,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582352432494915584,1582311743723753472,Bolsonaro,@usuario É serviço dela não é?,,0.028501,0.06143,0.910069,0.0899309999999999,0.032929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582411612593324038,1582311743723753472,Bolsonaro,"@usuario @usuario 🤖😂2️⃣2️⃣
🤡🇧🇷🫡🤖 ✌🏼✌🏼🫶🏻🇧🇷
Vamos deixar esse site famoso.Para o desespero da petralhada.
https://t.co/D1eyrUoYgq",,0.515606,0.05358,0.430814,0.569186,-0.462026,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560784458059587587,1560783830654631938,Ciro Gomes,@usuario #PrefiroCiroPresidente12 pois o Brasil precisa de um Projeto Nacional de Desenvolvimento 🤩 @usuario é o candidato mais preparado e juntos vamos chegar lá 🌹,,0.943743,0.005281,0.050976,0.949024,-0.938462,12,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1560802745338167296,1560783830654631938,Ciro Gomes,@usuario @usuario PHODACY !!! Segura seu B.O que aqui é o 12,,0.838296,0.011642,0.150062,0.849938,-0.826654,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1560810901565067269,1560783830654631938,Ciro Gomes,@usuario Que decepção heim @usuario aceitar convite da Jovem Passa Pano Bolsonazista.,,0.002714,0.990327,0.006959,0.993041,0.987613,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560812563058888704,1560783830654631938,Ciro Gomes,@usuario @usuario Você adoeceu meu caro.,,0.007707,0.949825,0.042468,0.957532,0.942118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560784692177141760,1560783830654631938,Ciro Gomes,@usuario @usuario Olha a tchutchuca do centrão,,0.023631,0.489147,0.487223,0.512777,0.465516,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561001981082185729,1560783830654631938,Ciro Gomes,"@usuario Brasil! Olha em volta e veja se existe outro candidato mais competente e compromissado que CIRO GOMES!!
#PrefiroCiroPresidente12",,0.520107,0.077658,0.402235,0.597765,-0.442449,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560786513805312000,1560783830654631938,Ciro Gomes,@usuario Sextou!,,0.260774,0.011014,0.728212,0.271788,-0.24976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560809616811954186,1560783830654631938,Ciro Gomes,"@usuario @usuario Se todo petista que aparece dizendo ""votei no Ciro em 2018"" tivesse mesmo votado ele teria ganho aquela eleição! Conta outra irmão! É o 12 🌹🇧🇷",,0.01541,0.842047,0.142543,0.857457,0.826637,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
